strategy,total_revenue_usd,v2g_revenue_usd,inference_revenue_usd,charging_cost_usd,total_charge_kwh,total_discharge_kwh,infer_hours,mwh_in_events,mobility_reliability
passive,-1373.4358829093624,0.0,0.0,1373.4358829093624,8566.335257928495,0.0,0.0,0.0,1.0
smart_charge,-669.6100998893901,0.0,0.0,669.609977998502,8487.530910127865,0.0,0.0,0.0,1.0
v2g_only,676.5322141230943,3243.417483514067,0.0,2566.8852588327195,30778.936853003157,18867.445987522704,0.0,0.2504973568128094,1.0
greedy,-548.2326057384432,1875.5547542150125,1629.219401253889,2154.705749142985,24937.26962861224,10153.0,823.4,0.2002,0.9886415525114156
stochastic_coopt,1995.7822039135085,2864.4981824052693,1985.5110765488032,2854.227042541509,33471.394974005074,16570.071859730564,983.2,0.23644966074825796,1.0
